Sliding Sketch,Arrivals,ARE
input_num: 34, guess: 6, real: 6
Sl-CM,194,0
input_num: 27, guess: 1, real: 1
Sl-CM,195,0
input_num: 216, guess: 1, real: 1
Sl-CM,196,0
input_num: 205, guess: 1, real: 1
Sl-CM,197,0
input_num: 145, guess: 1, real: 1
Sl-CM,198,0
input_num: 173, guess: 2, real: 2
Sl-CM,199,0
input_num: 154, guess: 6, real: 6
Sl-CM,200,0
input_num: 192, guess: 1, real: 1
Sl-CM,201,0
input_num: 58, guess: 4, real: 4
Sl-CM,202,0
input_num: 199, guess: 2, real: 2
Sl-CM,203,0
input_num: 219, guess: 1, real: 1
Sl-CM,204,0
input_num: 192, guess: 2, real: 2
Sl-CM,205,0
input_num: 142, guess: 1, real: 1
Sl-CM,206,0
input_num: 34, guess: 7, real: 7
Sl-CM,207,0
input_num: 214, guess: 1, real: 1
Sl-CM,208,0
input_num: 51, guess: 5, real: 5
Sl-CM,209,0
input_num: 214, guess: 2, real: 2
Sl-CM,210,0
input_num: 175, guess: 4, real: 4
Sl-CM,211,0
input_num: 175, guess: 5, real: 5
Sl-CM,212,0
input_num: 157, guess: 4, real: 4
Sl-CM,213,0
input_num: 150, guess: 2, real: 2
Sl-CM,214,0
input_num: 229, guess: 1, real: 1
Sl-CM,215,0
input_num: 189, guess: 1, real: 1
Sl-CM,216,0
input_num: 175, guess: 6, real: 6
Sl-CM,217,0
input_num: 175, guess: 7, real: 7
Sl-CM,218,0
input_num: 157, guess: 5, real: 5
Sl-CM,219,0
input_num: 227, guess: 1, real: 1
Sl-CM,220,0
input_num: 227, guess: 2, real: 2
Sl-CM,221,0
input_num: 230, guess: 1, real: 1
Sl-CM,222,0
input_num: 1384652, guess: 1, real: 1
Sl-CM,223,0
input_num: 234, guess: 1, real: 1
Sl-CM,224,0
input_num: 233, guess: 1, real: 1
Sl-CM,225,0
input_num: 91, guess: 9, real: 9
Sl-CM,226,0
input_num: 234, guess: 2, real: 2
Sl-CM,227,0
input_num: 200, guess: 3, real: 3
Sl-CM,228,0
input_num: 204, guess: 1, real: 1
Sl-CM,229,0
input_num: 224, guess: 1, real: 1
Sl-CM,230,0
input_num: 60, guess: 3, real: 3
Sl-CM,231,0
input_num: 101, guess: 2, real: 2
Sl-CM,232,0
input_num: 93, guess: 2, real: 2
Sl-CM,233,0
input_num: 204, guess: 2, real: 2
Sl-CM,234,0
input_num: 34, guess: 8, real: 8
Sl-CM,235,0
input_num: 91, guess: 10, real: 10
Sl-CM,236,0
input_num: 233, guess: 2, real: 2
Sl-CM,237,0
input_num: 150, guess: 3, real: 3
Sl-CM,238,0
input_num: 91, guess: 11, real: 11
Sl-CM,239,0
input_num: 34, guess: 9, real: 9
Sl-CM,240,0
input_num: 34, guess: 10, real: 10
Sl-CM,241,0
input_num: 58, guess: 5, real: 5
Sl-CM,242,0
input_num: 159, guess: 1, real: 1
Sl-CM,243,0
input_num: 91, guess: 12, real: 12
Sl-CM,244,0
input_num: 153, guess: 2, real: 2
Sl-CM,245,0
input_num: 91, guess: 13, real: 13
Sl-CM,246,0
input_num: 200, guess: 4, real: 4
Sl-CM,247,0
input_num: 234, guess: 3, real: 3
Sl-CM,248,0
input_num: 234, guess: 4, real: 4
Sl-CM,249,0
input_num: 200, guess: 5, real: 5
Sl-CM,250,0
input_num: 243, guess: 1, real: 1
Sl-CM,251,0
input_num: 34, guess: 11, real: 11
Sl-CM,252,0
input_num: 137, guess: 3, real: 3
Sl-CM,253,0
input_num: 122, guess: 4, real: 4
Sl-CM,254,0
input_num: 243, guess: 2, real: 2
Sl-CM,255,0
input_num: 136, guess: 5, real: 5
Sl-CM,256,0
input_num: 55, guess: 7, real: 7
Sl-CM,257,0
input_num: 200, guess: 6, real: 6
Sl-CM,258,0
input_num: 91, guess: 14, real: 14
Sl-CM,259,0
input_num: 116, guess: 7, real: 7
Sl-CM,260,0
input_num: 91, guess: 15, real: 15
Sl-CM,261,0
input_num: 246, guess: 1, real: 1
Sl-CM,262,0
input_num: 244, guess: 1, real: 1
Sl-CM,263,0
input_num: 243, guess: 3, real: 3
Sl-CM,264,0
input_num: 206, guess: 2, real: 2
Sl-CM,265,0
input_num: 91, guess: 16, real: 16
Sl-CM,266,0
input_num: 206, guess: 3, real: 3
Sl-CM,267,0
input_num: 49, guess: 5, real: 5
Sl-CM,268,0
input_num: 101, guess: 3, real: 3
Sl-CM,269,0
input_num: 116, guess: 8, real: 8
Sl-CM,270,0
input_num: 200, guess: 7, real: 7
Sl-CM,271,0
input_num: 122, guess: 5, real: 5
Sl-CM,272,0
input_num: 1, guess: 2, real: 2
Sl-CM,273,0
input_num: 233, guess: 3, real: 3
Sl-CM,274,0
input_num: 55, guess: 8, real: 8
Sl-CM,275,0
input_num: 13, guess: 6, real: 6
Sl-CM,276,0
input_num: 1, guess: 3, real: 3
Sl-CM,277,0
input_num: 93, guess: 3, real: 3
Sl-CM,278,0
input_num: 231, guess: 1, real: 1
Sl-CM,279,0
input_num: 77, guess: 1, real: 1
Sl-CM,280,0
input_num: 234, guess: 5, real: 5
Sl-CM,281,0
input_num: 116, guess: 9, real: 9
Sl-CM,282,0
input_num: 46, guess: 2, real: 2
Sl-CM,283,0
input_num: 55, guess: 9, real: 9
Sl-CM,284,0
input_num: 227, guess: 3, real: 3
Sl-CM,285,0
input_num: 227, guess: 4, real: 4
Sl-CM,286,0
input_num: 234, guess: 6, real: 6
Sl-CM,287,0
input_num: 234, guess: 7, real: 7
Sl-CM,288,0
input_num: 13, guess: 7, real: 7
Sl-CM,289,0
input_num: 234, guess: 8, real: 8
Sl-CM,290,0
input_num: 55, guess: 10, real: 10
Sl-CM,291,0
input_num: 3, guess: 1, real: 1
Sl-CM,292,0
input_num: 116, guess: 10, real: 10
Sl-CM,293,0
input_num: 231, guess: 2, real: 2
Sl-CM,294,0
input_num: 257, guess: 1, real: 1
Sl-CM,295,0
input_num: 122, guess: 6, real: 6
Sl-CM,296,0
input_num: 1, guess: 4, real: 4
Sl-CM,297,0
input_num: 214, guess: 3, real: 3
Sl-CM,298,0
input_num: 116, guess: 11, real: 11
Sl-CM,299,0
input_num: 2090742, guess: 1, real: 1
Sl-CM,300,0
input_num: 86, guess: 6, real: 6
Sl-CM,301,0
input_num: 51, guess: 6, real: 6
Sl-CM,302,0
input_num: 51, guess: 7, real: 7
Sl-CM,303,0
input_num: 13, guess: 8, real: 8
Sl-CM,304,0
input_num: 227, guess: 5, real: 5
Sl-CM,305,0
input_num: 91, guess: 17, real: 17
Sl-CM,306,0
input_num: 39, guess: 6, real: 6
Sl-CM,307,0
input_num: 264, guess: 1, real: 1
Sl-CM,308,0
input_num: 227, guess: 6, real: 6
Sl-CM,309,0
input_num: 40, guess: 6, real: 6
Sl-CM,310,0
input_num: 267, guess: 1, real: 1
Sl-CM,311,0
input_num: 268, guess: 1, real: 1
Sl-CM,312,0
input_num: 46, guess: 3, real: 3
Sl-CM,313,0
input_num: 200, guess: 8, real: 8
Sl-CM,314,0
input_num: 267, guess: 2, real: 2
Sl-CM,315,0
input_num: 268, guess: 2, real: 2
Sl-CM,316,0
input_num: 2090742, guess: 2, real: 2
Sl-CM,317,0
input_num: 200, guess: 9, real: 9
Sl-CM,318,0
input_num: 188, guess: 2, real: 2
Sl-CM,319,0
input_num: 263, guess: 1, real: 1
Sl-CM,320,0
input_num: 91, guess: 18, real: 18
Sl-CM,321,0
input_num: 120, guess: 1, real: 1
Sl-CM,322,0
input_num: 275, guess: 1, real: 1
Sl-CM,323,0
input_num: 266, guess: 1, real: 1
Sl-CM,324,0
input_num: 267, guess: 3, real: 3
Sl-CM,325,0
input_num: 206, guess: 4, real: 4
Sl-CM,326,0
input_num: 60, guess: 4, real: 4
Sl-CM,327,0
input_num: 34, guess: 12, real: 12
Sl-CM,328,0
input_num: 275, guess: 2, real: 2
Sl-CM,329,0
input_num: 258, guess: 1, real: 1
Sl-CM,330,0
input_num: 188, guess: 3, real: 3
Sl-CM,331,0
input_num: 192, guess: 3, real: 3
Sl-CM,332,0
input_num: 120, guess: 2, real: 2
Sl-CM,333,0
input_num: 257, guess: 2, real: 2
Sl-CM,334,0
input_num: 48, guess: 3, real: 3
Sl-CM,335,0
input_num: 173, guess: 3, real: 3
Sl-CM,336,0
input_num: 149, guess: 2, real: 2
Sl-CM,337,0
input_num: 206, guess: 5, real: 5
Sl-CM,338,0
input_num: 34, guess: 13, real: 13
Sl-CM,339,0
input_num: 264, guess: 2, real: 2
Sl-CM,340,0
input_num: 268, guess: 3, real: 3
Sl-CM,341,0
input_num: 30, guess: 3, real: 3
Sl-CM,342,0
input_num: 206, guess: 6, real: 6
Sl-CM,343,0
input_num: 257, guess: 3, real: 3
Sl-CM,344,0
input_num: 91, guess: 19, real: 19
Sl-CM,345,0
input_num: 267, guess: 4, real: 4
Sl-CM,346,0
input_num: 48, guess: 4, real: 4
Sl-CM,347,0
input_num: 268, guess: 4, real: 4
Sl-CM,348,0
input_num: 46, guess: 4, real: 4
Sl-CM,349,0
input_num: 275, guess: 3, real: 3
Sl-CM,350,0
input_num: 35, guess: 4, real: 4
Sl-CM,351,0
input_num: 268, guess: 5, real: 5
Sl-CM,352,0
input_num: 25, guess: 3, real: 3
Sl-CM,353,0
input_num: 267, guess: 5, real: 5
Sl-CM,354,0
input_num: 192, guess: 4, real: 4
Sl-CM,355,0
input_num: 267, guess: 6, real: 6
Sl-CM,356,0
input_num: 91, guess: 20, real: 20
Sl-CM,357,0
input_num: 216, guess: 2, real: 2
Sl-CM,358,0
input_num: 91, guess: 21, real: 21
Sl-CM,359,0
input_num: 312, guess: 1, real: 1
Sl-CM,360,0
input_num: 268, guess: 6, real: 6
Sl-CM,361,0
input_num: 267, guess: 7, real: 7
Sl-CM,362,0
input_num: 39, guess: 7, real: 7
Sl-CM,363,0
input_num: 39, guess: 8, real: 8
Sl-CM,364,0
input_num: 313, guess: 1, real: 1
Sl-CM,365,0
input_num: 267, guess: 8, real: 8
Sl-CM,366,0
input_num: 29, guess: 1, real: 1
Sl-CM,367,0
input_num: 194, guess: 1, real: 1
Sl-CM,368,0
input_num: 17, guess: 9, real: 9
Sl-CM,369,0
input_num: 91, guess: 22, real: 22
Sl-CM,370,0
input_num: 267, guess: 9, real: 9
Sl-CM,371,0
input_num: 268, guess: 7, real: 7
Sl-CM,372,0
input_num: 17, guess: 10, real: 10
Sl-CM,373,0
input_num: 17, guess: 11, real: 11
Sl-CM,374,0
input_num: 199, guess: 3, real: 3
Sl-CM,375,0
input_num: 267, guess: 10, real: 10
Sl-CM,376,0
input_num: 91, guess: 23, real: 23
Sl-CM,377,0
input_num: 35, guess: 5, real: 5
Sl-CM,378,0
input_num: 35, guess: 6, real: 6
Sl-CM,379,0
input_num: 136, guess: 6, real: 6
Sl-CM,380,0
input_num: 269, guess: 1, real: 1
Sl-CM,381,0
input_num: 26, guess: 3, real: 3
Sl-CM,382,0
input_num: 206, guess: 7, real: 7
Sl-CM,383,0
input_num: 266, guess: 2, real: 2
Sl-CM,384,0
input_num: 91, guess: 24, real: 24
Sl-CM,385,0
input_num: 40, guess: 7, real: 7
Sl-CM,386,0
input_num: 34, guess: 14, real: 14
Sl-CM,387,0
input_num: 212, guess: 1, real: 1
Sl-CM,388,0
input_num: 225, guess: 1, real: 1
Sl-CM,389,0
input_num: 269, guess: 2, real: 2
Sl-CM,390,0
input_num: 60, guess: 5, real: 5
Sl-CM,391,0
input_num: 70, guess: 2, real: 2
Sl-CM,392,0
input_num: 35, guess: 7, real: 7
Sl-CM,393,0
input_num: 26, guess: 4, real: 4
Sl-CM,394,0
input_num: 58, guess: 6, real: 6
Sl-CM,395,0
input_num: 1384652, guess: 2, real: 2
Sl-CM,396,0
input_num: 45, guess: 2, real: 2
Sl-CM,397,0
input_num: 269, guess: 3, real: 3
Sl-CM,398,0
input_num: 60, guess: 6, real: 6
Sl-CM,399,0
input_num: 55, guess: 11, real: 11
Sl-CM,400,0
input_num: 307, guess: 1, real: 1
Sl-CM,401,0
input_num: 292, guess: 1, real: 1
Sl-CM,402,0
input_num: 40, guess: 8, real: 8
Sl-CM,403,0
input_num: 200, guess: 10, real: 10
Sl-CM,404,0
input_num: 304, guess: 1, real: 1
Sl-CM,405,0
input_num: 26, guess: 5, real: 5
Sl-CM,406,0
input_num: 333, guess: 1, real: 1
Sl-CM,407,0
input_num: 192, guess: 5, real: 5
Sl-CM,408,0
input_num: 60, guess: 7, real: 7
Sl-CM,409,0
input_num: 198, guess: 1, real: 1
Sl-CM,410,0
input_num: 296, guess: 1, real: 1
Sl-CM,411,0
